sembrada,cosechada,siniestrada,volumenproduccion,latitud,longitud,altitud,cicloproductivo_Otoño-Invierno,cicloproductivo_Perennes,cicloproductivo_Primavera-Verano,modalidad_Riego,modalidad_Temporal,cultivo_Avena forrajera en verde,cultivo_Frijol,cultivo_Maíz grano,cultivo_Pastos y praderas,cultivo_Tomate rojo (jitomate),K=8 Cluster Labels,rendimiento,cultivo,estado
37.59,37.59,0.0,1185.59,18.161267,-100.390821,295.0,0,1,0,1,0,0,0,0,1,0,3,31.54,Pastos y praderas,Guerrero
56.0,56.0,0.0,53.76,18.56683,-97.102076,2257.0,0,0,1,0,1,0,1,0,0,0,2,0.96,Frijol,Veracruz
110.0,110.0,0.0,81.2,25.257186,-99.685814,310.0,0,0,1,0,1,0,1,0,0,0,2,0.74,Frijol,Nuevo León
0.55,0.55,0.0,118.25,17.177989999999998,-96.824002,1596.0,1,0,0,1,0,0,0,0,0,1,4,215.0,Tomate rojo (jitomate),Oaxaca
95.0,95.0,0.0,251.75,28.308418,-100.378726,220.0,0,0,1,1,0,0,0,1,0,0,5,2.65,Maíz grano,Coahuila
28.0,28.0,0.0,1189.0,25.122971,-106.545633,1342.0,0,1,0,1,0,0,0,0,1,0,3,42.46,Pastos y praderas,Durango
100.0,100.0,0.0,1720.0,22.151655,-100.976958,1864.0,0,0,1,1,0,1,0,0,0,0,0,17.2,Avena forrajera en verde,San Luis Potosí
30.0,30.0,0.0,195.0,19.042026,-96.240591,21.0,0,0,1,1,0,0,0,1,0,0,5,6.5,Maíz grano,Veracruz
139.5,139.5,0.0,66.7,17.258634,-96.027355,1821.0,0,0,1,0,1,0,1,0,0,0,2,0.48,Frijol,Oaxaca
125.0,125.0,0.0,1475.0,21.585976,-99.56697,916.0,0,1,0,0,1,0,0,0,1,0,3,11.8,Pastos y praderas,San Luis Potosí
3.25,3.25,0.0,83.69,17.247126,-96.873686,1666.0,0,0,1,1,0,0,0,0,0,1,4,25.75,Tomate rojo (jitomate),Oaxaca
24.0,24.0,0.0,894.2,30.544334000000006,-111.121204,683.0,0,1,0,1,0,0,0,0,1,0,3,37.26,Pastos y praderas,Sonora
13.0,13.0,0.0,125.45,16.326322,-95.227546,37.0,1,0,0,1,0,0,0,0,0,1,4,9.65,Tomate rojo (jitomate),Oaxaca
150.0,150.0,0.0,192.0,17.564126,-96.547813,1989.0,0,0,1,0,1,0,0,1,0,0,6,1.28,Maíz grano,Oaxaca
64.0,64.0,0.0,76.5,17.428581,-97.312791,2123.0,0,0,1,1,0,0,1,0,0,0,2,1.2,Frijol,Oaxaca
131.0,131.0,0.0,180.78,16.603228,-95.625455,491.0,0,0,1,0,1,0,0,1,0,0,6,1.38,Maíz grano,Oaxaca
72.52,72.52,0.0,59.47,17.472358,-99.371294,996.0,1,0,0,1,0,0,1,0,0,0,5,0.82,Frijol,Guerrero
